_id,ltable_ID,rtable_ID
2,0,5166
1257,31,2205
1470,64,5005
1735,74,282
1736,74,2885
1856,102,3241
1903,119,4537
1909,125,2440
1922,127,340
2065,131,2962
2066,132,3375
2464,146,40
2469,146,2841
2473,146,3852
2475,146,3961
2476,146,4842
2479,147,1566
2493,153,2216
2504,154,3341
2543,170,3511
2679,175,2640
2692,181,3867
2698,184,4485
2710,190,1614
2728,191,4439
2729,191,4518
2761,200,2808
2806,208,1788
2807,209,2185
2808,209,3266
2809,209,4382
2826,216,3377
2830,218,1449
2960,244,1614
3050,279,5169
3053,282,1614
3057,282,3718
3058,282,3751
3059,282,3955
3062,283,1614
3065,283,2541
3079,285,4259
3085,289,3728
3105,308,3018
3127,317,882
3132,317,3544
3133,317,3718
3134,317,3955
3155,326,3728
3195,345,624
3202,351,624
3269,380,1812
3286,380,3253
3300,380,4259
3306,380,4505
3311,380,5233
3312,381,3728
3362,391,3544
3370,393,4121
3611,410,3544
3663,414,1614
3715,431,3544
3716,431,4121
3717,433,2203
3721,436,1448
3732,441,2923
3733,441,4004
3860,462,624
4189,507,3544
4408,526,34
4409,526,40
4413,526,93
4417,526,133
4433,526,349
4436,526,391
4441,526,453
4444,526,515
4449,526,618
4455,526,725
4474,526,1084
4476,526,1451
4479,526,1661
4491,526,1984
4499,526,2034
4500,526,2036
4511,526,2161
4520,526,2295
4538,526,2517
4543,526,2540
4550,526,2679
4555,526,2725
4577,526,2934
4579,526,2940
4582,526,2981
4590,526,3051
4591,526,3069
4599,526,3160
4611,526,3253
4619,526,3335
4625,526,3391
4635,526,3483
4637,526,3492
4638,526,3495
4639,526,3496
4648,526,3551
4652,526,3581
4655,526,3606
4659,526,3633
4687,526,3852
4690,526,3867
4693,526,3875
4699,526,3910
4700,526,3915
4703,526,3961
4713,526,4121
4720,526,4169
4722,526,4186
4729,526,4259
4730,526,4272
4742,526,4364
4750,526,4456
4755,526,4518
4774,526,4687
4776,526,4692
4780,526,4748
4782,526,4764
4783,526,4779
4791,526,4842
4797,526,4897
4801,526,4912
4825,526,5213
4826,526,5222
4846,532,2418
4847,532,2699
4848,532,3254
4849,532,3351
4850,532,3544
4851,532,3852
4888,533,1582
5095,555,40
5096,555,113
5097,555,624
5109,555,4121
5110,555,4272
5321,618,4121
5656,634,3718
5658,634,3955
5807,660,782
6415,679,4999
6519,683,1950
6521,683,3718
6522,683,3955
6569,688,40
6571,688,1614
6574,688,3160
6774,692,3398
6990,713,40
6991,713,1471
6995,713,2036
6998,713,3544
7002,714,2173
7003,714,3557
7025,732,40
7028,732,3160
7901,758,3545
7923,759,4048
7958,760,4770
8027,762,2427
8206,763,4549
8214,764,4269
8226,765,3372
8243,766,3649
8280,767,3354
8300,768,3263
8428,794,40
8429,794,133
8431,794,1614
8433,794,2036
8435,794,2296
8436,794,3163
8438,794,3852
8439,794,4132
8440,794,4568
8443,795,133
8485,804,882
8486,804,891
8487,804,1614
8490,804,3051
8521,811,4272
