ltable_url,ltable_problem_code,rtable_url,rtable_problem_code
http://www.spoj.com/problems/CDOWN,,https://www.codechef.com/problems/CHEFHACK,
http://www.spoj.com/problems/BFBINADD,,https://www.codechef.com/problems/CLMBSTRS,
http://www.spoj.com/problems/BMASTER,,https://www.codechef.com/problems/CHEFBOOK,
http://www.spoj.com/problems/GUESS003,,https://www.codechef.com/problems/BOBPRIME,
http://www.spoj.com/problems/WONKA1,,https://www.codechef.com/problems/LEPAPER,
http://www.spoj.com/problems/CHI_NATURAL,,https://www.codechef.com/problems/IOPC13C,
http://www.spoj.com/problems/TAP2014I,,https://www.codechef.com/problems/WORDNINJ,
http://www.spoj.com/problems/WONKA1,,https://www.codechef.com/problems/SEASNAKE,
http://www.spoj.com/problems/SECSYS,,https://www.codechef.com/problems/KAN15RTF,
http://www.spoj.com/problems/UCV2013B,,https://www.codechef.com/problems/GRAPLANE,
http://www.spoj.com/problems/CDC12_C,,https://www.codechef.com/problems/ANUTDP,
http://www.spoj.com/problems/UCV2013F,,https://www.codechef.com/problems/DQPERMS,
http://www.spoj.com/problems/RAIN2,,https://www.codechef.com/problems/IOPC14D,
http://www.spoj.com/problems/BOOKS1,,https://www.codechef.com/problems/HOB,
http://www.spoj.com/problems/TSPAGAIN,,https://www.codechef.com/problems/TSPAGAIN,
http://www.spoj.com/problems/GUESS003,,https://www.codechef.com/problems/SEAVEC,
http://www.spoj.com/problems/GNY07F,,https://www.codechef.com/problems/CIELHACK,
http://www.spoj.com/problems/EMOTICON,,https://www.codechef.com/problems/ALK13D,
http://www.spoj.com/problems/FAMILY,,https://www.codechef.com/problems/WYSIWYG5,
http://www.spoj.com/problems/ZEBRA,,https://www.codechef.com/problems/BYTEFOOD,
http://www.spoj.com/problems/AMR12K,,https://www.codechef.com/problems/FIRESC,
http://www.spoj.com/problems/UOFTCE,,https://www.codechef.com/problems/ESCAPE,
http://www.spoj.com/problems/HMEXAM,,https://www.codechef.com/problems/LPARTY,
http://www.spoj.com/problems/DIRVS,,https://www.codechef.com/problems/GROUPING,
http://www.spoj.com/problems/AE4B,,https://www.codechef.com/problems/TOURBUS,
http://www.spoj.com/problems/DCEPC11J,,https://www.codechef.com/problems/CIELHACK,
http://www.spoj.com/problems/ROBIN,,https://www.codechef.com/problems/CANDYGAM,
http://www.spoj.com/problems/VNINGAME,,https://www.codechef.com/problems/SCRABBLE,
http://www.spoj.com/problems/BUZZ,,https://www.codechef.com/problems/TRAVELER,
http://www.spoj.com/problems/AMR12F,,https://www.codechef.com/problems/SATA04,
http://www.spoj.com/problems/FBTOURS,,https://www.codechef.com/problems/BURST,
http://www.spoj.com/problems/SEQ,,https://www.codechef.com/problems/LOC02,
http://www.spoj.com/problems/GUESSN3,,https://www.codechef.com/problems/MAXDIFFW,
http://www.spoj.com/problems/WRLUNCH,,https://www.codechef.com/problems/J3,
http://www.spoj.com/problems/CDC12_A,,https://www.codechef.com/problems/ISM08,
http://www.spoj.com/problems/VPL0_D,,https://www.codechef.com/problems/HOB,
http://www.spoj.com/problems/SAMER08A,,https://www.codechef.com/problems/SHAMASS,
http://www.spoj.com/problems/SELLINGA,,https://www.codechef.com/problems/HOB,
http://www.spoj.com/problems/TAP2016G,,https://www.codechef.com/problems/JTREE,
http://www.spoj.com/problems/QN03,,https://www.codechef.com/problems/TEAMSIZE,
http://www.spoj.com/problems/ACMNSIT4,,https://www.codechef.com/problems/EASYPROB,
http://www.spoj.com/problems/HEISLAZY,,https://www.codechef.com/problems/SATA04,
http://www.spoj.com/problems/MOVEBOOK,,https://www.codechef.com/problems/IOPC1205,
http://www.spoj.com/problems/HOTLINE,,https://www.codechef.com/problems/MRGSRT,
http://www.spoj.com/problems/HELP,,https://www.codechef.com/problems/DAGCH,
http://www.spoj.com/problems/LCS,,https://www.codechef.com/problems/LOC02,
http://www.spoj.com/problems/DCEPC12F,,https://www.codechef.com/problems/HISTJUNK,
http://www.spoj.com/problems/TAP2016G,,https://www.codechef.com/problems/ORDERS,
http://www.spoj.com/problems/BRKDB,,https://www.codechef.com/problems/NUMMAX3,
