TagId,0,1,2,3,4
2,#numbertheory,http://www.spoj.com/problems/tag/numbertheory,,,
6,#number-theory,http://www.spoj.com/problems/tag/number-theory,,,
99,#polynomial,http://www.spoj.com/problems/tag/polynomial,,,
98,#lcs,http://www.spoj.com/problems/tag/lcs,,,
91,#logic,http://www.spoj.com/problems/tag/logic,,,
90,#knapsack,http://www.spoj.com/problems/tag/knapsack,,,
93,#sub-quadratic,http://www.spoj.com/problems/tag/sub-quadratic,,,
92,#hangzhou-2008,http://www.spoj.com/problems/tag/hangzhou-2008,,,
95,#np-hard,http://www.spoj.com/problems/tag/np-hard,,,
94,#lds,http://www.spoj.com/problems/tag/lds,,,
97,#string-matching,http://www.spoj.com/problems/tag/string-matching,,,
96,#digit-dp-1,http://www.spoj.com/problems/tag/digit-dp-1,,,
11,#big-numbers,http://www.spoj.com/problems/tag/big-numbers,,,
10,#binary-search,http://www.spoj.com/problems/tag/binary-search,,,
13,#sub-linear,http://www.spoj.com/problems/tag/sub-linear,,,
12,#fast-prime-counting,http://www.spoj.com/problems/tag/fast-prime-counting,,,
15,#adhoc,http://www.spoj.com/problems/tag/adhoc,,,
14,#bfs,http://www.spoj.com/problems/tag/bfs,,,
17,#stirling,http://www.spoj.com/problems/tag/stirling,,,
16,#tree,http://www.spoj.com/problems/tag/tree,,,
19,#shortest-path,http://www.spoj.com/problems/tag/shortest-path,,,
18,#recursion,http://www.spoj.com/problems/tag/recursion,,,
117,#linear-recurrence,http://www.spoj.com/problems/tag/linear-recurrence,,,
116,#segment-tree-73,http://www.spoj.com/problems/tag/segment-tree-73,,,
151,#euler-circuit,http://www.spoj.com/problems/tag/euler-circuit,,,
150,#rmq-1,http://www.spoj.com/problems/tag/rmq-1,,,
48,#graph,http://www.spoj.com/problems/tag/graph,,,
49,#brute-force,http://www.spoj.com/problems/tag/brute-force,,,
46,#bubble-cup-6-round-2,http://www.spoj.com/problems/tag/bubble-cup-6-round-2,,,
47,#stable-marriage-problem,http://www.spoj.com/problems/tag/stable-marriage-problem,,,
44,#bubble-cup-9-round-1,http://www.spoj.com/problems/tag/bubble-cup-9-round-1,,,
45,#plane-geometry,http://www.spoj.com/problems/tag/plane-geometry,,,
42,#game-theory-1,http://www.spoj.com/problems/tag/game-theory-1,,,
43,#matching,http://www.spoj.com/problems/tag/matching,,,
40,#probability-theory,http://www.spoj.com/problems/tag/probability-theory,,,
41,#bubble-cup-6-round-1,http://www.spoj.com/problems/tag/bubble-cup-6-round-1,,,
1,#dynamic-programming,http://www.spoj.com/problems/tag/dynamic-programming,,,
5,#greedy,http://www.spoj.com/problems/tag/greedy,,,
9,#sliding-window-1,http://www.spoj.com/problems/tag/sliding-window-1,,,
146,#numbe,http://www.spoj.com/problems/tag/numbe,,,
147,#math-42,http://www.spoj.com/problems/tag/math-42,,,
144,#knight,http://www.spoj.com/problems/tag/knight,,,
